½ : ½ (Stand: Aljechin 14 : 8 Bogoljubow) 23. Partie In der 23. Partie führte Bogoljubow eine wichtige Neuerung ein.	neutral	0.2041	positive
Zumindest ein Forscher meldet allerdings, einen entsprechenden Marker doch gefunden zu haben.	neutral	0.0	neutral
Rechteckige Altarräume kamen nur bei kleineren Dorfkirchen vor und waren gegenüber den halbrunden Apsiden relativ selten.	neutral	-0.1027	negative
Die Tanaser verlangten daher immer öfter nach einer eigenen Kirche, die man ohne Lebensgefahr erreichen konnte.	neutral	0.1139	positive
In Casarsa della Delizia befanden sich Teile der Korpstruppen des V. Korps, darunter das 5. Heeresfliegerregiment.	neutral	0.0	neutral
Unmittelbar darauf scheint das Gut allodifiziert worden zu sein.	neutral	0.4767	positive
Heute befindet sich der Besitz im Eigentum der Familie Freiherr und Freifrau von Ketteler-Boeselager, die auch Mitinhaber des nahegelegenen Wildwald Voßwinkel sind.	neutral	0.4019	positive
Dennoch hat sie moderne arabische Lyriker wie Adonis und Mahmud Darwisch nachhaltig beeinflusst.	neutral	0.7003	positive
Es wurde am 1. September 1989 veröffentlicht und stieg auf Platz 1 der amerikanischen Charts.	neutral	0.25	positive
Sie ist zuerst verliebt in Chris Abeley, dann in Dune Baxter.	neutral	0.0	neutral
Schon bald nach dem Regierungsantritt von König Friedrich Wilhelm II. beseitigte man die Einrichtung aber wieder.	neutral	0.0387	positive
Dieser entspringt auf dem Rotsteiger Kopf und fließt durch das Wachenheimer Tal unterhalb der Wachtenburg an der Wachenheimer Kläranlage vorbei, die das geklärte Abwasser dort einleitet, nördlich zum Stechgraben.	neutral	0.0	neutral
Die Baukosten des 2003 begonnenen Projekts betragen geschätzt 970 Millionen Euro und werden von Frankreich, dem Departement und der Europäischen Union getragen.	neutral	0.2732	positive
Die heute denkmalgeschützte Anlage besteht aus einem klassizistischen Palast aus dem 18. Jahrhundert, einem Teich und einem Schlosspark mit einer Reihe markanter Bauwerke.	neutral	0.4215	positive
Danach war er wegen seiner Mandate im Wartestand.	neutral	0.0	neutral
Im Jahr 1877 verfasste sie ihr Werk Krankenpflege als Unterrichtsgegenstand, das ihr das Interesse humanitärer Vereine einbrachte.	neutral	0.7783	positive
Er gewann erneut ein Rennen und erzielte vier Podest-Platzierungen, jedoch reichten diese Resultate in dieser Saison für den sechsten Gesamtrang.	neutral	0.6908	positive
