negative	bist du echt so ein dulli
negative	bist du echt so ein armer irrer
negative	bist du echt so ein vollidiot
negative	bist du echt so ein hirni
negative	bist du echt so ein hohlkopf
negative	bist du echt so ein flachpfeife
negative	bist du echt so ein dummkopf
negative	bist du echt so ein holzkopf
negative	bist du echt so ein piesepampel
negative	bist du echt so ein halbgescheiter
negative	bist du echt so ein schwachmat
negative	bist du echt so ein eiernacken
negative	bist du echt so ein klappspaten
negative	bist du echt so ein niete
negative	bist du echt so ein hohle nuss
negative	bist du echt so ein blödian
negative	bist du echt so ein vollpfosten
negative	bist du echt so ein schnellmerker
negative	bist du echt so ein knallcharge
negative	bist du echt so ein pannemann
negative	bist du echt so ein tölpel
negative	bist du echt so ein napfsülze
negative	bist du echt so ein dolm
negative	bist du echt so ein blödmann
negative	bist du echt so ein sacklpicker
negative	bist du echt so ein spatzenhirn
negative	bist du echt so ein heini
negative	bist du echt so ein minderbemittelter
negative	bist du echt so ein volltrottel
negative	bist du echt so ein dämlack
negative	bist du echt so ein spasti
negative	bist du echt so ein blitzbirne
negative	bist du echt so ein rindvieh
negative	bist du echt so ein knallkopf
negative	bist du echt so ein geistiger tiefflieger
negative	bist du echt so ein taube nuss
negative	bist du echt so ein lapp
negative	bist du echt so ein einfaltspinsel
negative	bist du echt so ein hohlbirne
negative	bist du echt so ein dödel
negative	bist du echt so ein dussel
negative	bist du echt so ein spaten
negative	bist du echt so ein depp
negative	bist du echt so ein horst
negative	bist du echt so ein narr
negative	bist du echt so ein dumpfbacke
negative	bist du echt so ein dummbart
negative	bist du echt so ein todel
negative	bist du echt so ein dumme nuss
negative	bist du echt so ein keine leuchte
negative	bist du echt so ein döskopp
negative	bist du echt so ein nullchecker
negative	bist du echt so ein flitzpiepe
negative	bist du echt so ein knallidiot
negative	bist du echt so ein dumme gans
negative	bist du echt so ein dumpfbatz
negative	bist du echt so ein dämlicher hund
negative	bist du echt so ein bekloppter
negative	bist du echt so ein idiot
negative	bist du echt so ein dummrian
negative	bist du echt so ein eierkopp
negative	bist du echt so ein dummerjan
negative	bist du echt so ein schwachkopf
negative	bist du echt so ein halbdackel
negative	bist du echt so ein blödel
negative	bist du echt so ein pappnase
negative	bist du echt so ein dösbaddel
negative	bist du echt so ein strohkopf
negative	bist du echt so ein stoffel
negative	bist du echt so ein blödi
negative	bist du echt so ein tuppe
negative	bist du echt so ein torfnase
negative	bist du echt so ein spast
negative	bist du echt so ein honk
negative	bist du echt so ein esel
negative	bist du echt so ein armleuchter
negative	bist du echt so ein hein blöd
negative	bist du echt so ein trübe tasse
negative	bist du echt so ein torfkopf
negative	bist du echt so ein vollspast
negative	bist du echt so ein hornochse
negative	bist du echt so ein dummes huhn
negative	bist du echt so ein tepp
negative	bist du echt so ein spacko
negative	bist du echt so ein dummes schaf
negative	bist du echt so ein geistige null
negative	bist du echt so ein denkzwerg
negative	bist du echt so ein armer im geiste
negative	bist du echt so ein flachwichser
negative	bist du echt so ein hohlfigur
negative	bist du echt so ein vollhorst
negative	bist du so ein dulli
negative	bist du so ein armer irrer
negative	bist du so ein vollidiot
negative	bist du so ein hirni
negative	bist du so ein hohlkopf
negative	bist du so ein flachpfeife
negative	bist du so ein dummkopf
negative	bist du so ein holzkopf
negative	bist du so ein piesepampel
negative	bist du so ein halbgescheiter
negative	bist du so ein schwachmat
negative	bist du so ein eiernacken
negative	bist du so ein klappspaten
negative	bist du so ein niete
negative	bist du so ein hohle nuss
negative	bist du so ein blödian
negative	bist du so ein vollpfosten
negative	bist du so ein schnellmerker
negative	bist du so ein knallcharge
negative	bist du so ein pannemann
negative	bist du so ein tölpel
negative	bist du so ein napfsülze
negative	bist du so ein dolm
negative	bist du so ein blödmann
negative	bist du so ein sacklpicker
negative	bist du so ein spatzenhirn
negative	bist du so ein heini
negative	bist du so ein minderbemittelter
negative	bist du so ein volltrottel
negative	bist du so ein dämlack
negative	bist du so ein spasti
negative	bist du so ein blitzbirne
negative	bist du so ein rindvieh
negative	bist du so ein knallkopf
negative	bist du so ein geistiger tiefflieger
negative	bist du so ein taube nuss
negative	bist du so ein lapp
negative	bist du so ein einfaltspinsel
negative	bist du so ein hohlbirne
negative	bist du so ein dödel
negative	bist du so ein dussel
negative	bist du so ein spaten
negative	bist du so ein depp
